date,areaType,areaCode,areaName,newCasesByPublishDate
"2021-01-14",utla,N09000007,Lisburn and Castlereagh,47
"2021-01-13",utla,N09000007,Lisburn and Castlereagh,63
"2021-01-12",utla,N09000007,Lisburn and Castlereagh,83
"2021-01-11",utla,N09000007,Lisburn and Castlereagh,165
"2021-01-10",utla,N09000007,Lisburn and Castlereagh,0
"2021-01-09",utla,N09000007,Lisburn and Castlereagh,0
"2021-01-08",utla,N09000007,Lisburn and Castlereagh,68
"2021-01-07",utla,N09000007,Lisburn and Castlereagh,66
"2021-01-06",utla,N09000007,Lisburn and Castlereagh,108
"2021-01-05",utla,N09000007,Lisburn and Castlereagh,52
"2021-01-04",utla,N09000007,Lisburn and Castlereagh,409
"2021-01-03",utla,N09000007,Lisburn and Castlereagh,0
"2021-01-02",utla,N09000007,Lisburn and Castlereagh,0
"2021-01-01",utla,N09000007,Lisburn and Castlereagh,0
"2020-12-31",utla,N09000007,Lisburn and Castlereagh,90
"2020-12-30",utla,N09000007,Lisburn and Castlereagh,152
"2020-12-28",utla,N09000007,Lisburn and Castlereagh,0
"2020-12-27",utla,N09000007,Lisburn and Castlereagh,0
"2020-12-26",utla,N09000007,Lisburn and Castlereagh,0
"2020-12-25",utla,N09000007,Lisburn and Castlereagh,0
"2020-12-24",utla,N09000007,Lisburn and Castlereagh,0
"2020-12-23",utla,N09000007,Lisburn and Castlereagh,46
"2020-12-22",utla,N09000007,Lisburn and Castlereagh,27
"2020-12-21",utla,N09000007,Lisburn and Castlereagh,105
"2020-12-20",utla,N09000007,Lisburn and Castlereagh,0
"2020-12-19",utla,N09000007,Lisburn and Castlereagh,0
"2020-12-18",utla,N09000007,Lisburn and Castlereagh,29
"2020-12-17",utla,N09000007,Lisburn and Castlereagh,40
"2020-12-16",utla,N09000007,Lisburn and Castlereagh,56
"2020-12-15",utla,N09000007,Lisburn and Castlereagh,0
"2020-12-14",utla,N09000007,Lisburn and Castlereagh,72
"2020-12-13",utla,N09000007,Lisburn and Castlereagh,0
"2020-12-12",utla,N09000007,Lisburn and Castlereagh,0
"2020-12-11",utla,N09000007,Lisburn and Castlereagh,35
"2020-12-10",utla,N09000007,Lisburn and Castlereagh,25
"2020-12-09",utla,N09000007,Lisburn and Castlereagh,20
"2020-12-08",utla,N09000007,Lisburn and Castlereagh,20
"2020-12-07",utla,N09000007,Lisburn and Castlereagh,95
"2020-12-06",utla,N09000007,Lisburn and Castlereagh,0
"2020-12-05",utla,N09000007,Lisburn and Castlereagh,0
"2020-12-04",utla,N09000007,Lisburn and Castlereagh,29
"2020-12-03",utla,N09000007,Lisburn and Castlereagh,26
"2020-12-02",utla,N09000007,Lisburn and Castlereagh,31
"2020-12-01",utla,N09000007,Lisburn and Castlereagh,12
"2020-11-30",utla,N09000007,Lisburn and Castlereagh,65
"2020-11-29",utla,N09000007,Lisburn and Castlereagh,0
"2020-11-28",utla,N09000007,Lisburn and Castlereagh,0
"2020-11-27",utla,N09000007,Lisburn and Castlereagh,20
"2020-11-26",utla,N09000007,Lisburn and Castlereagh,30
"2020-11-25",utla,N09000007,Lisburn and Castlereagh,25
"2020-11-24",utla,N09000007,Lisburn and Castlereagh,3
"2020-11-23",utla,N09000007,Lisburn and Castlereagh,66
"2020-11-22",utla,N09000007,Lisburn and Castlereagh,0
"2020-11-21",utla,N09000007,Lisburn and Castlereagh,0
"2020-11-20",utla,N09000007,Lisburn and Castlereagh,14
"2020-11-19",utla,N09000007,Lisburn and Castlereagh,19
"2020-11-18",utla,N09000007,Lisburn and Castlereagh,28
"2020-11-17",utla,N09000007,Lisburn and Castlereagh,34
"2020-11-16",utla,N09000007,Lisburn and Castlereagh,74
"2020-11-15",utla,N09000007,Lisburn and Castlereagh,0
"2020-11-14",utla,N09000007,Lisburn and Castlereagh,0
"2020-11-13",utla,N09000007,Lisburn and Castlereagh,22
"2020-11-12",utla,N09000007,Lisburn and Castlereagh,33
"2020-11-11",utla,N09000007,Lisburn and Castlereagh,42
"2020-11-10",utla,N09000007,Lisburn and Castlereagh,29
"2020-11-09",utla,N09000007,Lisburn and Castlereagh,96
"2020-11-08",utla,N09000007,Lisburn and Castlereagh,0
"2020-11-07",utla,N09000007,Lisburn and Castlereagh,0
"2020-11-06",utla,N09000007,Lisburn and Castlereagh,43
"2020-11-05",utla,N09000007,Lisburn and Castlereagh,36
"2020-11-04",utla,N09000007,Lisburn and Castlereagh,69
"2020-11-03",utla,N09000007,Lisburn and Castlereagh,45
"2020-11-02",utla,N09000007,Lisburn and Castlereagh,161
"2020-11-01",utla,N09000007,Lisburn and Castlereagh,0
"2020-10-31",utla,N09000007,Lisburn and Castlereagh,0
"2020-10-30",utla,N09000007,Lisburn and Castlereagh,43
"2020-10-29",utla,N09000007,Lisburn and Castlereagh,73
"2020-10-28",utla,N09000007,Lisburn and Castlereagh,60
"2020-10-27",utla,N09000007,Lisburn and Castlereagh,60
"2020-10-26",utla,N09000007,Lisburn and Castlereagh,214
"2020-10-25",utla,N09000007,Lisburn and Castlereagh,0
"2020-10-24",utla,N09000007,Lisburn and Castlereagh,0
"2020-10-23",utla,N09000007,Lisburn and Castlereagh,87
"2020-10-22",utla,N09000007,Lisburn and Castlereagh,78
"2020-10-21",utla,N09000007,Lisburn and Castlereagh,82
"2020-10-20",utla,N09000007,Lisburn and Castlereagh,55
"2020-10-19",utla,N09000007,Lisburn and Castlereagh,200
"2020-10-18",utla,N09000007,Lisburn and Castlereagh,0
"2020-10-17",utla,N09000007,Lisburn and Castlereagh,0
"2020-10-16",utla,N09000007,Lisburn and Castlereagh,90
"2020-10-15",utla,N09000007,Lisburn and Castlereagh,35
"2020-10-14",utla,N09000007,Lisburn and Castlereagh,68
"2020-10-13",utla,N09000007,Lisburn and Castlereagh,83
"2020-10-12",utla,N09000007,Lisburn and Castlereagh,175
"2020-10-11",utla,N09000007,Lisburn and Castlereagh,0
"2020-10-10",utla,N09000007,Lisburn and Castlereagh,0
"2020-10-09",utla,N09000007,Lisburn and Castlereagh,49
"2020-10-08",utla,N09000007,Lisburn and Castlereagh,46
"2020-10-07",utla,N09000007,Lisburn and Castlereagh,41
"2020-10-06",utla,N09000007,Lisburn and Castlereagh,35
"2020-10-05",utla,N09000007,Lisburn and Castlereagh,82
"2020-10-04",utla,N09000007,Lisburn and Castlereagh,0
"2020-10-03",utla,N09000007,Lisburn and Castlereagh,0
"2020-10-02",utla,N09000007,Lisburn and Castlereagh,44
"2020-10-01",utla,N09000007,Lisburn and Castlereagh,18
"2020-09-30",utla,N09000007,Lisburn and Castlereagh,15
"2020-09-29",utla,N09000007,Lisburn and Castlereagh,20
