"","local_date","driving","transit","walking","cumCases","newCasesByPublishDate"
"1",2020-01-13,"100","100","100",0,0
"2",2020-01-14,"107.65","105.14","108.89",0,0
"3",2020-01-15,"111.20","107.06","116.84",0,0
"4",2020-01-16,"108.29","106.08","118.82",0,0
"5",2020-01-17,"115.08","115.13","132.18",0,0
"6",2020-01-18,"122.20","126.63","160.29",0,0
"7",2020-01-19,"101.06","104.37","105.12",0,0
"8",2020-01-20,"105.14","103.68","108.02",0,0
"9",2020-01-21,"112.18","109.45","120.52",0,0
"10",2020-01-22,"114.32","112.85","124.81",0,0
"11",2020-01-23,"111.18","111.52","127.01",0,0
"12",2020-01-24,"118.01","120.06","137.38",0,0
"13",2020-01-25,"124.14","130.78","162.41",0,0
"14",2020-01-26," 99.42","105.11"," 97.16",0,0
"15",2020-01-27,"103.01","103.70","100.01",0,0
"16",2020-01-28,"105.92","105.84","113.27",0,0
"17",2020-01-29,"108.66","110.18","122.75",0,0
"18",2020-01-30,"109.46","111.72","124.96",0,0
"19",2020-01-31,"118.35","124.67","144.13",0,0
"20",2020-02-01,"121.48","129.92","161.17",0,0
"21",2020-02-02,"103.99","111.18","103.93",0,0
"22",2020-02-03,"101.60","104.18","105.67",0,0
"23",2020-02-04,"105.72","107.19","115.03",0,0
"24",2020-02-05,"110.51","111.08","125.42",0,0
"25",2020-02-06,"110.47","111.71","128.43",0,0
"26",2020-02-07,"115.70","120.48","140.65",0,0
"27",2020-02-08,"123.02","134.34","167.80",0,0
"28",2020-02-09," 96.79","103.13"," 76.79",0,0
"29",2020-02-10,"107.55","106.62","100.51",0,0
"30",2020-02-11,"109.80","109.07","115.26",0,0
"31",2020-02-12,"110.74","111.20","125.35",0,0
"32",2020-02-13,"115.47","110.18","124.69",0,0
"33",2020-02-14,"124.92","123.91","150.77",0,0
"34",2020-02-15,"120.86","131.79","149.35",0,0
"35",2020-02-16,"105.10","116.64"," 96.03",0,0
"36",2020-02-17,"121.24","123.55","131.20",0,0
"37",2020-02-18,"120.38","122.11","131.72",0,0
"38",2020-02-19,"122.60","125.12","137.59",0,0
"39",2020-02-20,"123.31","124.27","136.05",0,0
"40",2020-02-21,"129.10","133.95","153.95",0,0
"41",2020-02-22,"128.60","141.61","170.22",0,0
"42",2020-02-23,"105.81","111.26","104.41",0,0
"43",2020-02-24,"106.45","107.64","104.32",0,0
"44",2020-02-25,"108.69","109.44","119.88",0,0
"45",2020-02-26,"110.88","110.17","125.12",0,0
"46",2020-02-27,"111.38","111.27","123.88",0,0
"47",2020-02-28,"123.68","122.41","133.76",0,0
"48",2020-02-29,"127.92","129.48","153.92",0,0
"49",2020-03-01,"106.82","109.14","109.26",0,0
"50",2020-03-02,"103.19","102.74","103.64",0,0
"51",2020-03-03,"107.89","105.44","114.68",0,0
"52",2020-03-04,"111.68","106.93","114.25",0,0
"53",2020-03-05,"112.97","106.97","106.50",0,0
"54",2020-03-06,"122.13","118.77","142.09",0,0
"55",2020-03-07,"125.74","127.78","167.10",0,0
"56",2020-03-08," 99.51","100.86"," 96.86",0,0
